"","V1","V2","V3","V4","V5","V6","value"
"13506","Montipora_capitata_HIv3___Scaffold_5_307262","Montipora_capitata_HIv3___RNAseq.g49657.t1",150,-21.14,"73.33%","86.67%",-0.738903043620807
"14245","Montipora_capitata_HIv3___Scaffold_5_322659","Montipora_capitata_HIv3___RNAseq.g7498.t1",148,-20.14,"66.67%","66.67%",-0.740477613793873
"15804","Montipora_capitata_HIv3___Scaffold_6_419669","Montipora_capitata_HIv3___RNAseq.g7498.t1",148,-20.14,"66.67%","66.67%",-0.740477613793873
"16261","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g44151.t1",158,-24.1,"73.68%","78.95%",-0.859646785984186
"16873","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g38916.t1",160,-24.13,"76.47%","88.24%",-0.781424134754679
"18582","Montipora_capitata_HIv3___Scaffold_8_535535","Montipora_capitata_HIv3___RNAseq.g12435.t2",147,-22.57,"64.00%","68.00%",-0.791141448014127
"24301","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g23308.t1",161,-24.23,"71.43%","85.71%",-0.874005667290115
"24589","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g43237.t1",168,-21.4,"71.43%","85.71%",-0.872576708254321
"24668","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g49322.t1",150,-20.69,"57.14%","71.43%",-0.925728039361661
"24879","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___TS.g40704.t1",147,-21.22,"66.67%","77.78%",-0.797906033849835
"24921","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___TS.g736.t2",151,-21.13,"62.50%","75.00%",-0.837023260319725
"25204","Montipora_capitata_HIv3___Scaffold_9_617967","Montipora_capitata_HIv3___TS.g26688.t1a",153,-21.26,"68.75%","81.25%",-0.900564536375218
"25367","Montipora_capitata_HIv3___Scaffold_9_625013","Montipora_capitata_HIv3___RNAseq.g44613.t1",157,-21.06,"91.67%","91.67%",-0.927314844134406
"25378","Montipora_capitata_HIv3___Scaffold_9_625013","Montipora_capitata_HIv3___RNAseq.g47601.t1",182,-32.26,"94.12%","94.12%",-0.791393286844432
"1642","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g28902.t1",155,-21.54,"66.67%","77.78%",-0.8918913886459
"1883","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g44443.t1",149,-21.75,"65.00%","80.00%",-0.773361197515682
"1913","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g47271.t1",145,-21.88,"100.00%","100.00%",-0.877574310595824
"2897","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g28902.t1",155,-21.54,"66.67%","77.78%",-0.8918913886459
"3138","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g44443.t1",149,-21.75,"65.00%","80.00%",-0.773361197515682
"3168","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g47271.t1",145,-21.88,"100.00%","100.00%",-0.877574310595824
"5334","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g19622.t1",147,-20.62,"60.00%","75.00%",-0.7762202059849
"5841","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g5126.t1",157,-20.99,"75.00%","81.25%",-0.756433921079759
"8117","Montipora_capitata_HIv3___Scaffold_14_994729","Montipora_capitata_HIv3___TS.g24343.t2",168,-20.06,"78.95%","78.95%",-0.708105343309496
"8465","Montipora_capitata_HIv3___Scaffold_14_999529","Montipora_capitata_HIv3___TS.g39439.t2",162,-21.31,"68.42%","89.47%",-0.806749885399328
"8736","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g28902.t1",155,-21.54,"66.67%","77.78%",-0.8918913886459
"8977","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g44443.t1",149,-21.75,"65.00%","80.00%",-0.773361197515682
"9007","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g47271.t1",145,-21.88,"100.00%","100.00%",-0.877574310595824
"9366","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.g24698.t1",149,-20.22,"63.64%","72.73%",-0.893945113773111
"9645","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___TS.g27203.t1b",157,-20.07,"63.64%","77.27%",-0.790825792459073
"9877","Montipora_capitata_HIv3___Scaffold_2_64557","Montipora_capitata_HIv3___RNAseq.g26498.t1",148,-20.22,"57.69%","73.08%",-0.845575038914025
"10216","Montipora_capitata_HIv3___Scaffold_2_64557","Montipora_capitata_HIv3___TS.g9753.t1",161,-22.41,"63.64%","81.82%",-0.801225563894658
"10218","Montipora_capitata_HIv3___Scaffold_2_67225","Montipora_capitata_HIv3___RNAseq.23198_t",142,-21.4,"60.00%","68.00%",-0.786091186973972
"10817","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___RNAseq.g25741.t1",161,-20.03,"73.68%","84.21%",-0.701878509585089
"10870","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___RNAseq.g29479.t1",149,-21.55,"78.57%","85.71%",-0.735293285546703
"13039","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g496.t1",187,-38.1,"94.44%","94.44%",-0.929739987487039
"15952","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g14872.t1",148,-23.39,"63.64%","68.18%",-0.809123222171581
"17067","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g9282.t1",165,-24.89,"63.64%","86.36%",-0.896427848079426
"17330","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g24698.t1",142,-20.15,"88.89%","88.89%",-0.834260890604471
"17460","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g46959.t1",157,-20.83,"65.00%","75.00%",-0.889783391687767
"17577","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.23198_t",156,-22.93,"68.00%","72.00%",-0.920795092212171
"17874","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g43193.t1",157,-24.4,"65.22%","73.91%",-0.922262795412123
"17905","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g4682.t1",166,-20.05,"78.26%","82.61%",-0.876016757967124
"18023","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___TS.g28604.t1",150,-23.22,"63.64%","77.27%",-0.764287661603023
"19903","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___RNAseq.g49753.t1",162,-20.25,"73.68%","84.21%",-0.888464913850268
"24199","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g15294.t1",160,-28.83,"66.67%","80.95%",-0.887600700316384
"24349","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g26832.t1",144,-24.52,"52.38%","76.19%",-0.711579719679493
"24406","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g3091.t1",162,-23.92,"66.67%","76.19%",-0.86247012864331
"24453","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g34804.t1",158,-20.21,"68.42%","84.21%",-0.768315825863776
"24552","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g40194.t1",151,-21.95,"66.67%","71.43%",-0.806936204784375
"24735","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g7899.t1b",163,-27.38,"65.00%","90.00%",-0.887839117337956
"24792","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___TS.g1772.t1",146,-24.71,"57.14%","66.67%",-0.929581954293516
"24938","Montipora_capitata_HIv3___Scaffold_9_617967","Montipora_capitata_HIv3___RNAseq.g11792.t1",155,-22.23,"72.22%","88.89%",-0.848497539864599
"1327","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___TS.g29733.t2",156,-22.39,"71.43%","71.43%",-0.825674882005155
"1389","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___TS.g7779.t1",160,-20.6,"100.00%","100.00%",-0.86695909343385
"1419","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g11134.t1",158,-25.26,"66.67%","80.95%",-0.949767149436552
"1523","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g19852.t1",163,-21.79,"72.22%","83.33%",-0.91598121142063
"1535","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g20545.t1",163,-24.49,"72.22%","83.33%",-0.880658164949463
"1591","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g25185.t1",163,-30.48,"83.33%","88.89%",-0.905429850081958
"1842","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g41383.t1",146,-21.22,"66.67%","77.78%",-0.777147086376234
"2674","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g11134.t1",158,-25.26,"66.67%","80.95%",-0.949767149436552
"2778","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g19852.t1",163,-21.79,"72.22%","83.33%",-0.91598121142063
"2790","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g20545.t1",163,-24.49,"72.22%","83.33%",-0.880658164949463
"2846","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g25185.t1",163,-30.48,"83.33%","88.89%",-0.905429850081958
"3097","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g41383.t1",146,-21.22,"66.67%","77.78%",-0.777147086376234
"3605","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g20865.t1",176,-30.96,"78.95%","89.47%",-0.71611936672703
"4446","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___TS.g4095.t4",159,-21.11,"75.00%","75.00%",-0.714778898437532
"6182","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g14728.t1",155,-22.57,"100.00%","100.00%",-0.891007229706065
"6328","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g24117.t1",148,-23.14,"81.82%","90.91%",-0.723485741353781
"6886","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___TS.g28612.t1",145,-21.23,"66.67%","91.67%",-0.804810557260422
"7998","Montipora_capitata_HIv3___Scaffold_14_994729","Montipora_capitata_HIv3___RNAseq.g12487.t1",167,-21.31,"77.78%","83.33%",-0.822402552869746
"8105","Montipora_capitata_HIv3___Scaffold_14_994729","Montipora_capitata_HIv3___TS.g12254.t1",154,-20.36,"66.67%","80.95%",-0.72149620450374
"8513","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g11134.t1",158,-25.26,"66.67%","80.95%",-0.949767149436552
"8617","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g19852.t1",163,-21.79,"72.22%","83.33%",-0.91598121142063
"8629","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g20545.t1",163,-24.49,"72.22%","83.33%",-0.880658164949463
"8685","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g25185.t1",163,-30.48,"83.33%","88.89%",-0.905429850081958
"8936","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g41383.t1",146,-21.22,"66.67%","77.78%",-0.777147086376234
"9543","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.g46167.t1",169,-23.68,"68.18%","86.36%",-0.781546421289104
"10419","Montipora_capitata_HIv3___Scaffold_2_67225","Montipora_capitata_HIv3___RNAseq.g38443.t1",152,-20.67,"60.00%","76.00%",-0.776604166873138
"12036","Montipora_capitata_HIv3___Scaffold_2_96328","Montipora_capitata_HIv3___TS.g7779.t1",171,-32.94,"73.91%","82.61%",-0.767340572756392
"12964","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g37601.t1",167,-21.19,"77.78%","83.33%",-0.808052168439985
"13190","Montipora_capitata_HIv3___Scaffold_4_291272","Montipora_capitata_HIv3___RNAseq.g41325.t1",167,-21.88,"75.00%","79.17%",-0.720255662556172
"14379","Montipora_capitata_HIv3___Scaffold_5_365006","Montipora_capitata_HIv3___RNAseq.g16987.t1",164,-23.52,"82.35%","88.24%",-0.737776172550953
"14624","Montipora_capitata_HIv3___Scaffold_5_375083","Montipora_capitata_HIv3___RNAseq.g13055.t1",154,-24.32,"77.78%","77.78%",-0.783064052224263
"14996","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g18592.t1",159,-21.74,"73.91%","73.91%",-0.827195183968395
"16225","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g40862.t1",146,-20.26,"66.67%","71.43%",-0.882671103295505
"16480","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___TS.g49540.t1",151,-20.52,"63.64%","72.73%",-0.835934313907014
"16598","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g18078.t1",160,-24.65,"68.18%","77.27%",-0.963234831746111
"17367","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g30072.t1",146,-20.42,"68.42%","68.42%",-0.74835995263272
"17481","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g6263.t1",164,-22,"76.19%","76.19%",-0.859245219608687
"17572","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___TS.g7683.t1",147,-21.21,"71.43%","78.57%",-0.839154703693159
"17999","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___TS.g2350.t1",155,-22.29,"61.90%","80.95%",-0.945343914041738
"20043","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___TS.g47838.t1",155,-20.22,"66.67%","76.19%",-0.76834990771428
"21043","Montipora_capitata_HIv3___Scaffold_8_565039","Montipora_capitata_HIv3___TS.g7779.t1",171,-29.35,"73.91%","82.61%",-0.768148034982184
"21117","Montipora_capitata_HIv3___Scaffold_8_578139","Montipora_capitata_HIv3___RNAseq.g3456.t1",169,-21.79,"72.73%","81.82%",-0.830386305644615
"24367","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g28172.t1",158,-23.14,"84.62%","92.31%",-0.956395157567177
"24381","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g2916.t1",147,-21.35,"68.42%","78.95%",-0.94971814515852
"24490","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g37199.t1",163,-26.02,"66.67%","88.89%",-0.730926807541552
"24523","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g38616.t1",157,-24.02,"68.18%","72.73%",-0.970100174080395
"25153","Montipora_capitata_HIv3___Scaffold_9_617967","Montipora_capitata_HIv3___RNAseq.g49584.t1",153,-20.3,"60.00%","75.00%",-0.98357778933378
"25216","Montipora_capitata_HIv3___Scaffold_9_617967","Montipora_capitata_HIv3___TS.g33455.t1",158,-20.53,"83.33%","83.33%",-0.914363088119835
"614","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g33858.t1",158,-20.44,"73.68%","78.95%",-0.785414194347914
"918","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g19432.t1",162,-21.3,"86.67%","93.33%",-0.788638032716515
"1461","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g14136.t1",150,-21.05,"64.71%","76.47%",-0.820665954637051
"1592","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g2528.t1",145,-20.24,"100.00%","100.00%",-0.739879739738994
"1765","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g36889.t1",145,-20.23,"68.75%","68.75%",-0.710824879929964
"2022","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___TS.g15066.t1",195,-46.13,"100.00%","100.00%",-0.805894810372317
"2716","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g14136.t1",150,-21.05,"64.71%","76.47%",-0.820665954637051
"2847","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g2528.t1",145,-20.24,"100.00%","100.00%",-0.739879739738994
"3020","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g36889.t1",145,-20.23,"68.75%","68.75%",-0.710824879929964
"3277","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___TS.g15066.t1",195,-46.13,"100.00%","100.00%",-0.805894810372317
"4927","Montipora_capitata_HIv3___Scaffold_1_35393","Montipora_capitata_HIv3___RNAseq.g44970.t1",154,-25.11,"73.68%","73.68%",-0.743844127324498
"5548","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g31499.t2",163,-22.72,"75.00%","80.00%",-0.720951593380342
"6673","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g4672.t1",151,-22.69,"71.43%","85.71%",-0.799299216697738
"7334","Montipora_capitata_HIv3___Scaffold_14_1018693","Montipora_capitata_HIv3___RNAseq.g44182.t1",151,-21.02,"90.00%","100.00%",-0.702801170666557
"7519","Montipora_capitata_HIv3___Scaffold_1_4183","Montipora_capitata_HIv3___RNAseq.g3401.t1",170,-21.06,"77.27%","86.36%",-0.762464223938785
"8555","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g14136.t1",150,-21.05,"64.71%","76.47%",-0.820665954637051
"8686","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g2528.t1",145,-20.24,"100.00%","100.00%",-0.739879739738994
"8859","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g36889.t1",145,-20.23,"68.75%","68.75%",-0.710824879929964
"9116","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___TS.g15066.t1",195,-46.13,"100.00%","100.00%",-0.805894810372317
"11100","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___RNAseq.g46679.t1",151,-22.69,"72.22%","83.33%",-0.700122218721451
"11521","Montipora_capitata_HIv3___Scaffold_2_87665","Montipora_capitata_HIv3___RNAseq.g33858.t1",158,-20.44,"73.68%","78.95%",-0.785414194347914
"12141","Montipora_capitata_HIv3___Scaffold_2_98529","Montipora_capitata_HIv3___RNAseq.g22464.t1",169,-26.52,"81.82%","81.82%",-0.867300713058719
"12822","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g14156.t1",171,-23.79,"92.86%","100.00%",-0.765122892526005
"12868","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g21968.t1",164,-27.82,"73.68%","78.95%",-0.77046340632095
"13068","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___TS.g15066.t1",167,-24.12,"77.78%","83.33%",-0.706370210130776
"14128","Montipora_capitata_HIv3___Scaffold_5_322659","Montipora_capitata_HIv3___RNAseq.g33858.t1",158,-20.44,"73.68%","78.95%",-0.785414194347914
"14541","Montipora_capitata_HIv3___Scaffold_5_365006","Montipora_capitata_HIv3___RNAseq.g7359.t1",164,-20.2,"82.35%","88.24%",-0.708302904446496
"14730","Montipora_capitata_HIv3___Scaffold_5_375083","Montipora_capitata_HIv3___RNAseq.g34375.t1",155,-21.21,"78.57%","85.71%",-0.830205818992459
"14941","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g13253.t1",163,-21.27,"68.18%","72.73%",-0.785768638588522
"15687","Montipora_capitata_HIv3___Scaffold_6_419669","Montipora_capitata_HIv3___RNAseq.g33858.t1",158,-20.44,"73.68%","78.95%",-0.785414194347914
"16659","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g22258.t1",156,-20.45,"66.67%","76.19%",-0.964219025619427
"16883","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g39605.t1",166,-21.4,"66.67%","80.95%",-0.940478577190908
"16930","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g44311.t1",163,-20.77,"66.67%","85.71%",-0.731652418156235
"17489","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g7433.t1",164,-22.5,"73.68%","78.95%",-0.886813766330404
"17494","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g8561.t1",162,-24.79,"75.00%","79.17%",-0.877991213670055
"17747","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g29041.t1",173,-24.52,"75.00%","85.00%",-0.789793100767616
"17830","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g37197.t1",148,-20.08,"60.00%","68.00%",-0.801357821302683
"18826","Montipora_capitata_HIv3___Scaffold_8_535535","Montipora_capitata_HIv3___RNAseq.g27786.t1",145,-20.83,"78.57%","78.57%",-0.752034531269757
"19457","Montipora_capitata_HIv3___Scaffold_8_535535","Montipora_capitata_HIv3___TS.g46760.t1",152,-21.37,"90.91%","90.91%",-0.707644449620848
"19849","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___RNAseq.g44580.t1",160,-23.11,"68.18%","77.27%",-0.716934761732768
"22625","Montipora_capitata_HIv3___Scaffold_8_586427","Montipora_capitata_HIv3___RNAseq.g42620.t1a",158,-23.45,"74.07%","74.07%",-0.702854219632616
"24203","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g15391.t1",151,-20.29,"66.67%","71.43%",-0.893283428685192
"24296","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g22968.t1",141,-22.26,"57.14%","71.43%",-0.814767028801849
"24351","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g27069.t1",141,-20.15,"75.00%","75.00%",-0.918418127467133
"24509","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g38007.t1",143,-22.3,"61.54%","69.23%",-0.819002764799197
"24614","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g44976.t1",154,-27.59,"65.38%","76.92%",-0.706681952533984
"24924","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___TS.g8942.t2",156,-31.07,"64.00%","76.00%",-0.796090751626803
"1448","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g13327.t1",140,-21.37,"100.00%","100.00%",-0.830055585651351
"2436","Montipora_capitata_HIv3___Scaffold_11_801837","Montipora_capitata_HIv3___RNAseq.g27127.t1",162,-22.8,"71.43%","85.71%",-0.880281842796312
"2523","Montipora_capitata_HIv3___Scaffold_11_801837","Montipora_capitata_HIv3___RNAseq.g47102.t1",164,-21.4,"73.68%","78.95%",-0.749404490594546
"2703","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g13327.t1",140,-21.37,"100.00%","100.00%",-0.830055585651351
"3718","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g26114.t1",152,-20.23,"68.42%","68.42%",-0.76781338346679
"5423","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g23400.t1",158,-22.49,"71.43%","76.19%",-0.710630531773638
"6608","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g42849.t1",150,-26.9,"73.33%","86.67%",-0.846323370817523
"7951","Montipora_capitata_HIv3___Scaffold_14_992284","Montipora_capitata_HIv3___TS.g38337.t1",165,-21.05,"77.78%","88.89%",-0.801550574074302
"8542","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g13327.t1",140,-21.37,"100.00%","100.00%",-0.830055585651351
"10009","Montipora_capitata_HIv3___Scaffold_2_64557","Montipora_capitata_HIv3___RNAseq.g41008.t1",152,-21.57,"81.82%","100.00%",-0.844141651226984
"10686","Montipora_capitata_HIv3___Scaffold_2_71488","Montipora_capitata_HIv3___RNAseq.g16373.t1",153,-20.66,"83.33%","91.67%",-0.762050643136099
"12418","Montipora_capitata_HIv3___Scaffold_2_98529","Montipora_capitata_HIv3___TS.g27679.t3",169,-22.8,"80.00%","90.00%",-0.888892864286838
"12891","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g2547.t1",184,-37.77,"89.47%","89.47%",-0.829567177263485
"12970","Montipora_capitata_HIv3___Scaffold_4_264216","Montipora_capitata_HIv3___RNAseq.g38298.t1",172,-28.62,"78.95%","84.21%",-0.710249615733618
"14526","Montipora_capitata_HIv3___Scaffold_5_365006","Montipora_capitata_HIv3___RNAseq.g49603.t1",160,-21.06,"80.00%","86.67%",-0.706407959012715
"14787","Montipora_capitata_HIv3___Scaffold_5_375083","Montipora_capitata_HIv3___RNAseq.g45338.t1",148,-20.81,"81.82%","90.91%",-0.786786451289412
"16618","Montipora_capitata_HIv3___Scaffold_7_456843","Montipora_capitata_HIv3___RNAseq.g19514.t1",163,-20.94,"81.25%","93.75%",-0.725689501928131
"17534","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___TS.g29037.t2",148,-23.23,"72.22%","72.22%",-0.881989976037476
"17576","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.21256_t",155,-23.87,"64.29%","75.00%",-0.854508476131204
"17970","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g9020.t2",172,-22.77,"76.19%","85.71%",-0.799171919517571
"19912","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___RNAseq.g5306.t1",161,-21.55,"70.00%","90.00%",-0.88136858617621
"20074","Montipora_capitata_HIv3___Scaffold_8_553085","Montipora_capitata_HIv3___RNAseq.g10349.t1",144,-24.51,"68.42%","73.68%",-0.743285183851141
